Channel Name,Video Name,Review,Commenter Name,Date/Time,review_nepali
WorldLink Communications,#WhyChooseWorldLink #beatthespeed  #WorldLinkCommunications #WorldLinkCustomers #youtube,Worldlink को कस्टमर केयरमा फ्री कल हुनुपर्ने हो खासमा,@BimalChaudhary-z5h,2024-09-13T06:32:20Z,Worldlink को कस् टमर के यरमा फ् री कल हु नु पर् ने हो खा समा
WorldLink Communications,#WhyChooseWorldLink #beatthespeed  #WorldLinkCommunications #WorldLinkCustomers #youtube,💪💪💪,@sabintimalsina630,2024-08-30T22:32:58Z,💪💪💪
WorldLink Communications,#WhyChooseWorldLink #beatthespeed  #WorldLinkCommunications #WorldLinkCustomers #youtube,Sir hamro gau naji pani aaunu hamro pani bowling 120+ ho,@Asrar_bodybuilding,2024-07-13T06:46:51Z,Sir हम्रो गौ नजि पनि अऔनु हम्रो पनि bowling 120+ ho
WorldLink Communications,WorldLink refer offer,if you want to join worldlink then dont its worst isp you will regret,@mannuproductions811,2020-09-02T04:35:09Z,if you want to join worldlink then do not its worst इस्प् you will regret
WorldLink Communications,WorldLink refer offer,Areee yo worldlink ko manxe le herdai xa vane sunn kai rammroo chaleko xoina,@moonanimate9954,2020-03-26T15:27:33Z,अरेएए yo worldlink को मन्छे ले हेर्दै छ vane sunn कै रम्म्रोओ छलेको छोइन
WorldLink Communications,WorldLink refer offer,"khokne matra ho slow chalyo vanera fone garda""hajur aba ekchoti check garnus ta vanxan,speedtest garnu ta ookla bata vanxan""test garun jel chalxa fon rakhepaxi feri tei tal.yetro thulo isp provider re euta toll free number rakhna sakdaina yestale ta k ramro service dela.malai ta lagxa yini harulai ntc ra ncell bata darai commission aunxa jasto xa.sala chor haru.maile 25 mbps ko internet jodda ni 1 mobile ani 1 laptop chalauda speed xaina.yestalai kaile karbahi hune ho",@TechnicalNepalnp,2018-01-26T17:32:29Z,"खोक्ने मत्र ho slow छल्यो वनेर फ़ोने गर्द"" हजुर् aba एक्छोति check गर्नुस् ta वन्छन्, स्पेएद्तेस्त् गर्नु ta ओओक्ल बत वन्छन्"" test गरुन् जेल् छल्छ फ़ोन् रखेपछि फ़ेरि तेइ तल्. येत्रो थुलो इस्प् provider re एउत toll free number रख्न सक्दैन येस्तले ta k रम्रो service देल. मलै ta लग्छ यिनि हरुलै न्त्च् र न्चेल्ल् बत दरै commission औन्छ जस्तो छ. सल छोर् हरु. मैले 25 म्ब्प्स् को internet जोद्द नि 1 mobile अनि 1 laptop छलौद speed छैन. येस्तलै कैले कर्बहि हुने ho"
WorldLink Communications,WorldLink refer offer,WorldLink refer offer gareko maile with in 3 month ma khoi ta na free internet deyo focat ma time matra lost .,@bikashshre09,2017-04-18T06:23:33Z,WorldLink refer offer गरेको मैले with in 3 month ma खोइ ta न free internet देयो फ़ोचत् ma time मत्र lost.
WorldLink Communications,WorldLink FesTVty Offer is here now!!! (Dashain 2079),Suruma jodna kati lagxa???,@maniraj4233,2022-12-01T13:53:34Z,सुरुम जोद्न कति लग्छ???
WorldLink Communications,WorldLink FesTVty Offer is here now!!! (Dashain 2079),Mc,@riteshqushmi8458,2022-09-12T10:00:08Z,म्च्
WorldLink Communications,Mahanayak Rajesh Hamal surprise visit to our customer.,Aakash,@anishrai1552,2022-10-26T12:10:12Z,अअकस्ह्
WorldLink Communications,Mahanayak Rajesh Hamal surprise visit to our customer.,Plz give me solution,@gorkhaligamer1906,2021-12-26T12:06:51Z,प्ल्ज़् give me solution
WorldLink Communications,Mahanayak Rajesh Hamal surprise visit to our customer.,Mero tv ko box ma light balako cha tara tv screen ma chai kai pani dhakau daina,@gorkhaligamer1906,2021-12-26T12:06:27Z,मेरो त्व् को box ma light बलको cha तर त्व् screen ma छै कै पनि धकौ दैन
WorldLink Communications,Mahanayak Rajesh Hamal surprise visit to our customer.,Name matra xito baneko worldlnk geda ho yo worldlink kaile ramrari chaldena muji worldlink 😂🤣,@freakpizza5572,2021-12-25T10:37:29Z,Name मत्र छितो बनेको wओर्ल्द्ल्न्क् गेद ho yo worldlink कैले रम्ररि छल्देन मुजि worldlink😂🤣
WorldLink Communications,Mahanayak Rajesh Hamal surprise visit to our customer.,Kina gako hola hai net taw 360p ko quality pani chaldina tait na jana parni rajesh dai     jhukara fiber ko satta world khata ma aaunu bhaya xa        mero ghar ko ta 72 mbph ko net ho tai pani 10 ko jasto ni lagdina very bad too much disapointed tait aaba ma chadai nai aayara worldlink ko mukh ma aayara net lai falni ho aani fiber jodni ho🤪,@samman_rasaili,2021-12-24T15:48:04Z,Kina गको होल है net taw ३६०प् को quality पनि छल्दिन तैत् न जन पर्नि रजेस्ह् दै झुकर fiber को सत्त world खत ma अऔनु भय छ मेरो घर् को ta 72 म्ब्फ् को net ho तै पनि 10 को जस्तो नि लग्दिन very bad too much दिसपोइन्तेद् तैत् अअब ma छदै नै अअयर worldlink को मुख् ma अअयर net लै फ़ल्नि ho अअनि fiber जोद्नि ho🤪
WorldLink Communications,Mahanayak Rajesh Hamal surprise visit to our customer.,Sponser hahaha net nai gooo cha bhana Sponser gara ra matra kaipani hudaina,@manjukarki6292,2021-12-21T16:24:38Z,स्पोन्सेर् हहह net नै गोओओ cha भन स्पोन्सेर् गर र मत्र कैपनि हुदैन
WorldLink Communications,Mahanayak Rajesh Hamal surprise visit to our customer.,Rajesh sir yo world link lai support na garnu yo 2G bhanada slow cha 😂,@Ramkmr555,2021-12-20T10:09:43Z,रजेस्ह् sir yo world link लै support न गर्नु yo 2G भनद slow cha😂
WorldLink Communications,“Curated.Authentic.Natural”,Worst interet,@SlayeR-kn6wh,2022-03-10T17:46:47Z,Worst इन्तेरेत्
WorldLink Communications,Refer Offer.,Urhrgrrteirjtjfh🎉,@Mellow268,2023-07-28T06:44:50Z,उर्ह्र्ग्र्र्तेइर्ज्त्ज्फ़्ह्🎉
WorldLink Communications,Refer Offer.,Utydxxtewehrhfjdjggjgfxhykdjh,@Mellow268,2023-07-26T12:28:56Z,उत्य्द्छ्छ्तेwएह्र्ह्फ़्ज्द्ज्ग्ग्ज्ग्फ़्छ्ह्य्क्द्झ्
WorldLink Communications,Refer Offer.,World link WiFi siraha  survesh is very very bad,@teraigamer8004,2022-01-28T11:04:32Z,World link WiFi सिरह सुर्वेस्ह् is very very bad
WorldLink Communications,Go Beyond with WorldLink,Lado kha mugi randi ko xoro nepal ko slowest net ho mugi never join this wify,@genjisohan6549,2022-09-02T14:42:04Z,लदो ख मुगि रन्दि को छोरो नेपल् को slowest net ho मुगि never join this wइफ़्य्
WorldLink Communications,Go Beyond with WorldLink,🔥,@sameergaihre3078,2022-09-01T12:48:54Z,🔥
WorldLink Communications,Go Direct with WorldLink !! For New Customers #chitobhanekaiworldlink,@#@$#$#$@$+××÷😂❤🎉!@!#@$#,@Mellow268,2023-05-14T08:18:09Z,@#@$#$#$@$+××÷😂❤🎉!@!#@$#
WorldLink Communications,Go Direct with WorldLink !! For New Customers #chitobhanekaiworldlink,@####@@$@#!!##@#×÷÷=÷=🎉🎉🎉!#+÷×=🎉😢😮😅😅😅❤🎉🎉🎉,@Mellow268,2023-05-14T08:17:54Z,@####@@$@#!!##@#×÷÷=÷=🎉🎉🎉!#+÷×=🎉😢😮😅😅😅❤🎉🎉🎉
WorldLink Communications,Time to switch to WorldLink Photon 600 Mbps to enjoy high speed internet at its best.,250 mbps,@dynamicgamerz5327,2024-11-11T02:52:51Z,250 म्ब्प्स्
WorldLink Communications,Time to switch to WorldLink Photon 600 Mbps to enjoy high speed internet at its best.,Bakwas,@Ganesh_s_g_1,2022-01-03T16:12:58Z,बक्wअस्
WorldLink Communications,Time to switch to WorldLink Photon 600 Mbps to enjoy high speed internet at its best.,I need wordlink,@gopalsah927,2022-01-03T06:17:27Z,I need wओर्द्लिन्क्
WorldLink Communications,Time to switch to WorldLink Photon 600 Mbps to enjoy high speed internet at its best.,Iam gamer my net is very solow,@gopalsah927,2022-01-03T06:17:01Z,इअम् gamer my net is very सोलोw
WorldLink Communications,Go Direct with WorldLink | It's How we Connect Now!!,👍,@vk_official256,2023-03-17T15:55:17Z,👍
WorldLink Communications,“Make A Wish”,I'm also technician and staff of worldlink simara branch.,@nxt_lvl_psycho,2022-03-08T06:59:05Z,I am also technician and staff of worldlink सिमर branch.
WorldLink Communications,KATHMANDU!!! Be ready to have the time of your life with “WorldLink Carnival 2.0”.,Worst isp fr... Ek din 40 Ms ping auxa arko din 140ms(Valorant)... And the cycle repeats...,@CodeOnCanvas,2022-12-18T15:17:55Z,Worst इस्प् fr... एक् din 40 Ms ping औछ अर्को din १४०म्स्( वलोरन्त्)... And the cycle repeats...
WorldLink Communications,KATHMANDU!!! Be ready to have the time of your life with “WorldLink Carnival 2.0”.,Jhjk,@minatamang9967,2022-03-31T05:45:54Z,झ्ज्क्
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,🤣🤣Has uthayo,@zadoo3717,2021-05-13T09:04:05Z,🤣🤣 Has उथयो
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,#MadarChod Net,@Lil-nisall,2021-05-13T09:01:49Z,# मदर्छोद् Net
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,#MadarChod Net,@Lil-nisall,2021-05-13T09:01:46Z,# मदर्छोद् Net
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,#MadarChod Net,@Lil-nisall,2021-05-13T09:01:42Z,# मदर्छोद् Net
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,#MadarChod Net,@Lil-nisall,2021-05-13T09:01:37Z,# मदर्छोद् Net
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,#MadarChod Net,@Lil-nisall,2021-05-13T09:01:32Z,# मदर्छोद् Net
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,#MadarChod Net,@Lil-nisall,2021-05-13T09:01:28Z,# मदर्छोद् Net
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,Net Paine gu jastoo xa net ta ramro da na khatay haru,@LEXUS-17,2021-05-13T09:01:27Z,Net Paine गु जस्तोओ छ net ta रम्रो द न खतय् हरु
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,#MadarChod Net,@Lil-nisall,2021-05-13T09:01:24Z,# मदर्छोद् Net
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,#MadarChod Net,@Lil-nisall,2021-05-13T09:01:20Z,# मदर्छोद् Net
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,#MadarChod Net,@Lil-nisall,2021-05-13T09:01:17Z,# मदर्छोद् Net
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,KYA OP NET  WAAAAAAAAAAAA MOJ KARDI,@romanbhandari6008,2021-05-13T08:59:46Z,KYA OP NET WAAAAAAAAAAAA MOJ KARDI
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,"KHATRA NET XA WA WA 😍😍😍
PHONE UTHAU NA SOLTI",@SamdiPlays,2021-05-13T08:56:44Z,KHATRA NET XA WA WA😍😍😍 PHONE UTHAU NA SOLTI
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,Net ta ghu ho kina halayako yesto ghu net salya thuka😒🤬,@FF-cm3xq,2021-05-12T10:22:29Z,Net ta घु ho kina हलयको येस्तो घु net सल्य थुक😒🤬
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,Gu sabai bhanda xito jhute khatr,@ATS00116,2021-05-09T07:04:10Z,गु सबै भन्द छितो झुते खत्र्
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,natakkai ho,@yama8378,2021-02-03T06:41:04Z,नतक्कै ho
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,"daykhau nay dath aarkoi khanay aarkoi jasto baherw ramro daylhau xa and practise ma chai k he xaena 
worst ips of nepal",@mannuproductions811,2020-09-02T04:33:33Z,दय्खौ nay दथ् अअर्कोइ खनय् अअर्कोइ जस्तो बहेर्w रम्रो दय्ल्हौ छ and प्रच्तिसे ma छै k he छएन worst इप्स् of नेपल्
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,Vak Kai Kam xaina muji lado na chalaya hunxa 555kbps vanda bade chal Dana work less,@aayushgurung8531,2020-08-23T11:22:25Z,वक् कै कम् छैन मुजि लदो न छलय हुन्छ ५५५क्ब्प्स् vanda bade छल् Dana work less
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,Worldlink ko FUP ko barema complete information sahit video banaunu paryo.,@rogerssteve7772,2020-05-18T13:51:03Z,Worldlink को FUP को बरेम complete information सहित् video बनौनु पर्यो.
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,Thuuikaaa yesta internet jaile lag matra yetra superfast🤬🤬🤬 paisa matra khana janyaxa,@astro.vo1dd,2020-03-21T12:14:37Z,थुउइकअअ येस्त internet जैले lag मत्र येत्र सुपेर्फ़स्त्🤬🤬🤬 paisa मत्र खन जन्यछ
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,Sabai hawa xa yo net tw jhan sabai vandaa slow nai xa yo tw ekdamai loading dherai hunxa,@royalleader4213,2018-08-23T13:24:23Z,सबै हwअ छ yo net त्w झन् सबै वन्दअ slow नै छ yo त्w एक्दमै loading धेरै हुन्छ
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,Very Unsatisfied :/ not available in our area. All Nepal cover garna ta 10yrs Banda Kam lagnixaina,@superbb8693,2018-08-10T13:42:00Z,Very Unsatisfied:। not available in our area. All Nepal cover गर्न ta १०य्र्स् Banda कम् लग्निछैन
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,Kabadi isp,@sangitkarki3768,2018-07-02T16:02:44Z,कबदि इस्प्
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,Nice add tara khoya jasto service...,@rijandahal2408,2018-05-14T06:10:19Z,Nice add तर खोय जस्तो service...
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,"khokne matra ho slow chalyo vanera fone garda""hajur aba ekchoti check garnus ta vanxan,speedtest garnu ta ookla bata vanxan""test garun jel chalxa fon rakhepaxi feri tei tal.yetro thulo isp provider re euta toll free number rakhna sakdaina yestale ta k ramro service dela.malai ta lagxa yini harulai ntc ra ncell bata darai commission aunxa jasto xa.sala chor haru.maile 25 mbps ko internet jodda ni 1 mobile ani 1 laptop chalauda speed xaina.yestalai kaile karbahi hune ho",@TechnicalNepalnp,2018-01-26T17:28:03Z,"खोक्ने मत्र ho slow छल्यो वनेर फ़ोने गर्द"" हजुर् aba एक्छोति check गर्नुस् ta वन्छन्, स्पेएद्तेस्त् गर्नु ta ओओक्ल बत वन्छन्"" test गरुन् जेल् छल्छ फ़ोन् रखेपछि फ़ेरि तेइ तल्. येत्रो थुलो इस्प् provider re एउत toll free number रख्न सक्दैन येस्तले ta k रम्रो service देल. मलै ta लग्छ यिनि हरुलै न्त्च् र न्चेल्ल् बत दरै commission औन्छ जस्तो छ. सल छोर् हरु. मैले 25 म्ब्प्स् को internet जोद्द नि 1 mobile अनि 1 laptop छलौद speed छैन. येस्तलै कैले कर्बहि हुने ho"
WorldLink Communications,WorldLink Fiber TVC-Evolving from Dial up to Fiber Optics internet,"Jodna khojda tetaa tira fiber chaina vanvha, k garnu advertise ma jati j vaneni",@devengurung2622,2016-09-21T12:27:24Z,"जोद्न खोज्द तेतअ तिर fiber छैन वन्व्ह, k गर्नु advertise ma जति j वनेनि"
WorldLink Communications,Update Your WorldLink account details!! #worldlink #myWorldLinkapp #howto,Paila Sony sports channel chalai,@Bee-q1p4j,2024-08-31T19:59:25Z,पैल Sony sports channel छलै
WorldLink Communications,NETTV Festvty Offer is Here,Smart tv ho ki nai,@ashokmandalaurahi2253,2023-05-09T03:58:47Z,Smart त्व् ho ki नै
WorldLink Communications,NETTV Festvty Offer is Here,ONLY Dual band router ko price kati par xha,@sahcommunication4823,2022-09-20T13:34:30Z,ONLY Dual band router को price कति par छ्ह
WorldLink Communications,Thank You all we appreciate your constant support throughout this journey.,"We love WordlLink communications Ltd.
#lovefromkapanbranch
#FA",@subitlama7924,2022-11-28T05:53:47Z,We love Wओर्द्ल्लिन्क् communications Ltd.# लोवेफ़्रोम्कपन्ब्रन्छ्# FA
WorldLink Communications,Thank You all we appreciate your constant support throughout this journey.,Lol,@enjoycobragamingnp4996,2022-11-28T05:11:40Z,लोल्
WorldLink Communications,Don't miss your opportunities because of your internet connection!! #WorldLink #photonlite #WLink,100 Mbps vancha sab see slow net,@mr_jijivisha,2022-02-28T15:55:24Z,100 म्ब्प्स् वन्छ सब् see slow net
WorldLink Communications,Don't miss your opportunities because of your internet connection!! #WorldLink #photonlite #WLink,Sala ka ho asto net kasto ghytya ho kaha xa hakim world link sun 3g nikar ali chalna dhari phakata fadfdiraxa worldlink ko sala Facebook rw tiktak whatsApp ani ahi halaynna hami sala yo nepal bta banda grww sala maila fb 7class ma xodako aso online class vairw banathea banda gr youTube rw game ma support grna net laira aaija 5g 6g nasoch badi kamauxu paisa vanarw 3g nikar tro yo 4g rw ncell ko 4g nala ho gatar ani ntc ko 3g road ho ani ntc ko 2g tro tyo gatar mathi ko dhakan nala mathi ko buj kura ani ramro lairww aija,@Clashersagar,2022-02-28T05:40:31Z,सल ka ho अस्तो net कस्तो घ्य्त्य ho कह छ hakim world link sun ३ग् निकर् अलि छल्न धरि फकत फ़द्फ़्दिरछ worldlink को सल Facebook र्w तिक्तक् wहत्सप्प् अनि अहि हलय्न्न हमि सल yo नेपल् ब्त बन्द ग्र्ww सल मैल फ़्ब् ७च्लस्स् ma छोदको असो online class वैर्w बनथेअ बन्द gr योउतुबे र्w game ma support ग्र्न net लैर अऐज ५ग् ६ग् नसोछ् बदि कमौछु paisa वनर्w ३ग् निकर् त्रो yo ४ग् र्w न्चेल्ल् को ४ग् नल ho गतर् अनि न्त्च् को ३ग् road ho अनि न्त्च् को २ग् त्रो त्यो गतर् मथि को धकन् नल मथि को बुज् कुर अनि रम्रो लैर्ww ऐज
WorldLink Communications,Don't miss your opportunities because of your internet connection!! #WorldLink #photonlite #WLink,Sala ka ho asto net kasto ghytya ho kaha xa hakim world link sun 3g nikar ali chalna dhari phakata fadfdiraxa worldlink ko sala Facebook rw tiktak whatsApp ani ahi halaynna hami sala yo nepal bta banda grww sala maila fb 7class ma xodako aso online class vairw banathea banda gr youTube rw game ma support grna net laira aaija 5g 6g nasoch badi kamauxu paisa vanarw 3g nikar tro yo 4g rw ncell ko 4g nala ho gatar ani ntc ko 3g road ho ani ntc ko 2g tro tyo gatar mathi ko dhakan nala mathi ko buj kura ani ramro lairww aija,@Clashersagar,2022-02-28T05:40:18Z,सल ka ho अस्तो net कस्तो घ्य्त्य ho कह छ hakim world link sun ३ग् निकर् अलि छल्न धरि फकत फ़द्फ़्दिरछ worldlink को सल Facebook र्w तिक्तक् wहत्सप्प् अनि अहि हलय्न्न हमि सल yo नेपल् ब्त बन्द ग्र्ww सल मैल फ़्ब् ७च्लस्स् ma छोदको असो online class वैर्w बनथेअ बन्द gr योउतुबे र्w game ma support ग्र्न net लैर अऐज ५ग् ६ग् नसोछ् बदि कमौछु paisa वनर्w ३ग् निकर् त्रो yo ४ग् र्w न्चेल्ल् को ४ग् नल ho गतर् अनि न्त्च् को ३ग् road ho अनि न्त्च् को २ग् त्रो त्यो गतर् मथि को धकन् नल मथि को बुज् कुर अनि रम्रो लैर्ww ऐज
WorldLink Communications,Don't miss your opportunities because of your internet connection!! #WorldLink #photonlite #WLink,😒Paisa kharcha gari gari worldlink rakhako data vanda slow chalxa. 😭😭,@samjhanakumal4029,2022-02-24T15:20:46Z,😒 Paisa खर्छ गरि गरि worldlink रखको data vanda slow छल्छ.😭😭
WorldLink Communications,Don't miss your opportunities because of your internet connection!! #WorldLink #photonlite #WLink,Lol🤣😂🤣😂🤣😂🤣🤣😂🤣😂,@CRDYGaming,2022-02-21T13:23:13Z,लोल्🤣😂🤣😂🤣😂🤣🤣😂🤣😂
WorldLink Communications,WorldLink Blue Campaign,"What a poor network
#fuckworldlink",@nashibmagar7072,2021-05-15T10:35:00Z,What a poor network# फ़ुच्क्wओर्ल्द्लिन्क्
WorldLink Communications,WorldLink Blue Campaign,"please worldlink network lele ma rakhnu hami lai dherai problem vako xa  please  


we request",@ritzcollege1606,2020-03-30T14:20:40Z,please worldlink network लेले ma रख्नु हमि लै धेरै problem वको छ please we request
WorldLink Communications,WorldLink Tin ko Tadka Offer !!,Alu jasto,@waibasirop4832,2021-05-11T04:00:02Z,अलु जस्तो
WorldLink Communications,WorldLink Tin ko Tadka Offer !!,ranro xa World link,@prabingautam5730,2019-01-04T13:51:20Z,रन्रो छ World link
WorldLink Communications,WorldLink Tin ko Tadka Offer !!,"yo worldlink ma aru mobile lai block garnah k grnu???
plz reply",@ferociousgenius8202,2017-11-21T14:07:44Z,yo worldlink ma अरु mobile लै block गर्नह् k ग्र्नु??? प्ल्ज़् reply
WorldLink Communications,WorldLink Tin ko Tadka Offer !!,tadka rey na hasauna ho,@bikash12325,2017-11-19T10:13:05Z,तद्क रेय् न हसौन ho
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Love from horaa family ❤️❣️,@rosh3635,2022-02-07T05:17:40Z,Love from होरअ family❤️❣️
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Cr7 hora op,@puskarparajuli9772,2022-02-03T11:24:28Z,च्र्७ hora op
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",CR7😍😍😍😍,@looteragaming974,2022-02-03T10:59:54Z,CR7😍😍😍😍
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Love from cr7 😍😍😍,@looteragaming974,2022-02-03T10:59:22Z,Love from च्र्७😍😍😍
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Love from cr7hora♥️♥️♥️,@bhuwanbhujel8075,2022-02-03T07:35:01Z,Love from च्र्७होर♥️♥️♥️
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Aba ta sakdae na ni sathi haroo cr7horra lae garoparla hae,@Acharya_9,2022-02-03T06:10:17Z,Aba ta सक्दए न नि सथि हरोओ च्र्७होर्र लए गरोपर्ल hae
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Ess xitoo 😒,@gauravbhatta5293,2022-02-03T05:17:47Z,एस्स् छितोओ😒
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Cr7Horaaaa ♥️,@abhishek_aryal,2022-02-03T03:47:22Z,च्र्७होरअअअ♥️
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Cr7Horaaaa ♥️,@abhishek_aryal,2022-02-03T03:47:17Z,च्र्७होरअअअ♥️
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Cr7Horaaaa ♥️,@abhishek_aryal,2022-02-03T03:47:13Z,च्र्७होरअअअ♥️
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Cr7Horaaaa ♥️,@abhishek_aryal,2022-02-03T03:47:09Z,च्र्७होरअअअ♥️
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Cr7Horaaaa ♥️,@abhishek_aryal,2022-02-03T03:47:01Z,च्र्७होरअअअ♥️
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",#beliveinde #onenation exnation #cr7horra,@legendempire1098,2022-02-03T03:17:14Z,# बेलिवेइन्दे# ओनेनतिओन् एछ्नतिओन्# च्र्७होर्र
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Cr7 hora ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,@rbkurama5921,2022-02-03T00:43:20Z,च्र्७ hora❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Muji ping ramro didaina,@juleshchaudhary12,2022-02-02T18:47:01Z,मुजि ping रम्रो दिदैन
WorldLink Communications,"WorldLink Partnering with DeadEyes Guys, Team Elementrix & Cr7 Horaa for 2022! #GG",Cr7hora ❤️,@rainingfire_,2022-02-02T17:21:36Z,च्र्७होर❤️
